filter,model,kappa_eff,kappa_se,r_squared
numbers,single_exp,4.308073584744569e-06,0.009784532126298469,-0.005631337095485023
numbers,double_exp,4.608633595200694e-12,,-0.003171296296001991
numbers,power_law,0.0018304201713380379,2321.739735850418,0.09282296936626544
code,single_exp,0.0006504605889315467,0.011527619973873823,0.019988678919852676
code,double_exp,0.00012283938509584063,,0.020006093267617375
code,power_law,0.004089369743376694,41621527.90322467,0.17596720636063967
