filter,model,kappa_eff,kappa_se,r_squared
numbers,single_exp,3.558938629938887e-05,0.011333925579878583,0.06859221658463566
numbers,double_exp,2.8297147103216548e-14,,0.0
numbers,power_law,0.0025546411458904263,18.663703995396027,0.26552017133523376
code,single_exp,7.5448354804058416e-06,0.00446013555012966,0.1754174316781446
code,double_exp,4.2639227601565093e-05,,0.17339850704857185
code,power_law,0.012913436233991557,17840524.578381553,0.18604651145178652
