filter,model,kappa_eff,kappa_se,r_squared
numbers,single_exp,0.012973216614913843,0.0,0.6375552264332118
numbers,power_law,0.000549927274196883,0.0,0.6375599891271441
code,single_exp,3.6404024019338805e-06,0.0011894336199628104,0.8886293446305977
code,power_law,4.73902184269819e-07,7.925750281152684,0.6112046877788269
