layer,cka_global,cka_trait_subspace,cka_trait_neutral,trait_uplift,rho2_trait_proxy
0,0.0,0.0,0.0,0.0,0.0
1,0.9994692404379246,0.9994832049971784,0.99960697627622,1.000013971975013,0.9994832049971784
2,0.9977348982143974,0.9973951475774712,0.9982482717579128,0.9996594780461882,0.9973951475774712
3,0.9944704472251825,0.9950097684143117,0.9958771446792836,1.0005423199760577,0.9950097684143117
4,0.9895188883493593,0.9933007214809624,0.9897304502898451,1.00382189079575,0.9933007214809624
5,0.9664327617218691,0.9719341753375282,0.9710878647649531,1.0056924949500443,0.9719341753375282
6,0.9756829656705016,0.9752104461595499,0.9870462760054016,0.9995157038427672,0.9752104461595499
7,0.9785575118091396,0.9771740612219761,0.9842116150390617,0.9985862347685567,0.9771740612219761
8,0.9825937501537277,0.9797534765762926,0.9854777918874132,0.9971094121278599,0.9797534765762926
9,0.9834863917922951,0.9765448748718731,0.9911580263928005,0.9929419288580376,0.9765448748718731
10,0.9812538818665552,0.9753905665924554,0.9871920166122046,0.9940246704930772,0.9753905665924554
11,0.9810931187379056,0.9755455823619194,0.985766330089169,0.9943455557173587,0.9755455823619194
12,0.9818417055999349,0.9741711835320102,0.9818731865054146,0.9921876184071465,0.9741711835320102
13,0.9841704679154488,0.9730364659376316,0.9853496596302536,0.9886869172152667,0.9730364659376316
14,0.9837959916476421,0.9712782432079373,0.9836426393796663,0.9872760729399392,0.9712782432079373
15,0.9838065826974038,0.9658223159082187,0.9845915425584483,0.9817197128932845,0.9658223159082187
16,0.9829044403509766,0.9638054657141732,0.9845432758799724,0.980568838787641,0.9638054657141732
17,0.990008101496153,0.9739764849927319,0.9906772277505888,0.983806580492429,0.9739764849927319
18,0.9901512989709765,0.9736319586990106,0.9928949089673627,0.9833163474217185,0.9736319586990106
19,0.9940201150550425,0.9808599281621477,0.9941707677798451,0.9867606432771574,0.9808599281621477
20,0.9933094101592159,0.9808485038239217,0.9900810545537952,0.9874551612943072,0.9808485038239217
21,0.9931736156046259,0.975044493645429,0.9916729444585645,0.9817462710704812,0.975044493645429
22,0.9901972561527994,0.9708550567412377,0.9911810251503745,0.9804663168965831,0.9708550567412377
23,0.9888942447692407,0.9691430969834488,0.9895876231153219,0.9800270373801185,0.9691430969834488
24,0.9850533527317266,0.9604290017363941,0.9862543841887316,0.9750020129092046,0.9604290017363941
25,0.9755400758812052,0.9408600559622804,0.9860542130188924,0.9644504405545837,0.9408600559622804
26,0.9700271480689506,0.9340057807016703,0.9800471570811105,0.9628656090306454,0.9340057807016703
27,0.9697268684219339,0.9336851031304726,0.9753569081026373,0.9628330755131976,0.9336851031304726
28,0.9614664835888223,0.926235158653725,0.9449385763066369,0.9633566790559449,0.926235158653725
