layer,cka_global,cka_trait_subspace,cka_trait_neutral,trait_uplift,rho2_trait_proxy
0,0.0,0.0,0.0,0.0,0.0
1,0.9993869495420988,0.9991777475217414,0.9996005227294763,0.9997906696495754,0.9991777475217414
2,0.9965439724388636,0.9968322679752568,0.9984166337310544,1.000289295349093,0.9968322679752568
3,0.992179632460972,0.9925377686610354,0.9950639238822743,1.000360959032363,0.9925377686610354
4,0.9868393081173483,0.988801169066341,0.9893194005129492,1.0019880247299182,0.988801169066341
5,0.9643481754122541,0.9631679011833881,0.9681890006526035,0.9987760911888889,0.9631679011833881
6,0.9805361281757972,0.9791349151304882,0.9884204164722339,0.9985709725475228,0.9791349151304882
7,0.9818696200559061,0.9764757619062565,0.9840083521067321,0.9945065433948935,0.9764757619062565
8,0.9816950756969962,0.9781815029638145,0.9838375077884572,0.9964209123380933,0.9781815029638145
9,0.9837291025838834,0.9759512863636403,0.9901467291104529,0.9920935385566882,0.9759512863636403
10,0.9808608273667444,0.9748830173534487,0.9861606888297016,0.9939055472025079,0.9748830173534487
11,0.9759509948591605,0.9720530388441174,0.982253711618029,0.9960059920676595,0.9720530388441174
12,0.9812480752672168,0.9751332411855386,0.9815100767017428,0.9937683097314478,0.9751332411855386
13,0.9843645739919415,0.9710783099617044,0.985796369902885,0.9865026999332608,0.9710783099617044
14,0.9829639404894841,0.9680850166766733,0.9820395537709768,0.9848632048441152,0.9680850166766733
15,0.9816802394972939,0.9569929563770082,0.9828944124882567,0.974852011757996,0.9569929563770082
16,0.9822662667503054,0.95647314513645,0.9831091693800184,0.973741212045092,0.95647314513645
17,0.9869483835223117,0.9657566269186025,0.988931840799518,0.9785279990752119,0.9657566269186025
18,0.9876904577227816,0.9657576507253942,0.9914458610687455,0.9777938454037962,0.9657576507253942
19,0.9888561544072285,0.976029937179145,0.9907062903772615,0.987029238609763,0.976029937179145
20,0.9840033677143688,0.9727198903721883,0.9803606280244567,0.9885330907267222,0.9727198903721883
21,0.9844069751232835,0.9669774662940839,0.9822613801176928,0.9822944074253265,0.9669774662940839
22,0.9825449435983156,0.9598625704066932,0.9832682100248075,0.9769146710902057,0.9598625704066932
23,0.9820647985553583,0.9600496760691367,0.9796892242729672,0.9775828208906312,0.9600496760691367
24,0.9792370175788294,0.9517233418567506,0.9767153994928702,0.9719029456319915,0.9517233418567506
25,0.9727708717928543,0.933916357008284,0.9792672259873498,0.9600578965599988,0.933916357008284
26,0.966261930830151,0.926001822007932,0.9737636976624563,0.9583341664018264,0.926001822007932
27,0.9666697165732009,0.9211924545220369,0.9720770463019451,0.9529547049302644,0.9211924545220369
28,0.9625105819850982,0.920130790227254,0.9528221229451354,0.9559695316071857,0.920130790227254
