r2_linear,r2_mlp_best,r2_mlp_cfg,r2_kr_best,r2_kr_cfg,r2_best_nonlinear,best_nl_source,linear_over_nonlinear,n_pca,pca_var_explained,layer
-0.09197381404408667,-0.08406602580014133,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.07378896460809803,"{'alpha': 1.0, 'gamma': 0.01}",-0.07378896460809803,kernel_ridge,,20,1.0000000000000018,0
0.35434416580508044,0.6600890083484627,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.35919836874386446,"{'alpha': 0.1, 'gamma': 0.01}",0.6600890083484627,mlp,0.5368127045345696,20,0.9018081448046618,1
0.4104226099264561,0.38676153119129186,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.6144579275602633,"{'alpha': 1.0, 'gamma': 0.01}",0.38676153119129186,mlp,1.0611774357762107,20,0.8907106932607455,2
0.20749190643412563,0.5720366772694745,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.5950260411284247,"{'alpha': 0.1, 'gamma': 0.01}",0.5720366772694745,mlp,0.3627248298562865,20,0.8932206696293457,3
0.1660218930516305,0.5257491025891391,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5974849591968148,"{'alpha': 0.1, 'gamma': 0.01}",0.5257491025891391,mlp,0.3157816004516756,20,0.889741375033991,4
0.02717944107830672,0.4425242825443948,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.6022329030643745,"{'alpha': 0.1, 'gamma': 0.01}",0.4425242825443948,mlp,0.06141909529129632,20,0.9008859992038543,5
-0.08669325941975115,0.3352426012353702,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.592921467462084,"{'alpha': 0.1, 'gamma': 0.01}",0.3352426012353702,mlp,-0.25859857637509726,20,0.9025438859770936,6
-0.004794675834459916,0.4568162032058082,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5646965802643549,"{'alpha': 0.1, 'gamma': 0.01}",0.4568162032058082,mlp,-0.010495853257419994,20,0.9010833483256674,7
0.1265857209228547,0.08525417745994024,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.5491087441751061,"{'alpha': 0.1, 'gamma': 0.01}",0.08525417745994024,mlp,1.4848037327242478,20,0.8965698153162096,8
0.19966016829879196,0.13179918071391328,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.5828786704610047,"{'alpha': 0.1, 'gamma': 0.01}",0.13179918071391328,mlp,1.5148817103209429,20,0.8940058481713311,9
0.22270471325974117,0.35280963914413965,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.561625229798109,"{'alpha': 0.1, 'gamma': 0.01}",0.35280963914413965,mlp,0.6312319408278855,20,0.9016282492416962,10
0.20399184750892296,0.3719076539643289,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5734718598247595,"{'alpha': 0.1, 'gamma': 0.01}",0.3719076539643289,mlp,0.5485013425630886,20,0.8994287924155846,11
0.27843471723370183,0.39269801253886216,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5897778170971306,"{'alpha': 0.1, 'gamma': 0.01}",0.39269801253886216,mlp,0.7090301156187986,20,0.8902064614139433,12
