r2_linear,r2_mlp_best,r2_mlp_cfg,r2_kr_best,r2_kr_cfg,r2_best_nonlinear,best_nl_source,linear_over_nonlinear,n_pca,pca_var_explained,layer
-0.00845202112477339,0.4215697917344321,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.533418991641148,"{'alpha': 0.1, 'gamma': 0.01}",0.4215697917344321,mlp,-0.020048924971592226,20,0.8828032763517104,18
0.03341711301198791,0.2695934876110676,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5370513400568193,"{'alpha': 0.1, 'gamma': 0.01}",0.2695934876110676,mlp,0.12395371011408673,20,0.8779285482024922,19
0.15535387380198007,0.26000421253500317,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5366737920154903,"{'alpha': 0.1, 'gamma': 0.01}",0.26000421253500317,mlp,0.5975052184243572,20,0.8807777826028202,20
0.1441646654745613,0.22919891479130428,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5290276159195819,"{'alpha': 0.1, 'gamma': 0.01}",0.22919891479130428,mlp,0.6289936652005076,20,0.8788868487441548,21
0.290587991243915,0.4483844140096387,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5560298279563674,"{'alpha': 0.1, 'gamma': 0.01}",0.4483844140096387,mlp,0.6480778148494438,20,0.8706010135387258,22
0.4772088112248071,0.4216755683105001,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.5613962818603984,"{'alpha': 0.1, 'gamma': 0.01}",0.4216755683105001,mlp,1.1316966101138095,20,0.8622615471425591,23
0.5551954588181287,0.5555514159709447,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5506134904150308,"{'alpha': 0.1, 'gamma': 0.01}",0.5555514159709447,mlp,0.9993592723507079,20,0.8537581801560775,24
0.5180827500771543,0.5632185616464156,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.551826478096197,"{'alpha': 0.1, 'gamma': 0.01}",0.5632185616464156,mlp,0.9198609302979662,20,0.8572930740097031,25
0.5451671821028923,0.5651402861140238,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5470893500564895,"{'alpha': 0.1, 'gamma': 0.01}",0.5651402861140238,mlp,0.9646581486015284,20,0.8601090351687268,26
0.5480790703042606,0.5580630904217541,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5483300030911282,"{'alpha': 0.1, 'gamma': 0.01}",0.5580630904217541,mlp,0.9821095136215727,20,0.8482714586414717,27
0.5081403081969957,0.5380878134542277,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5478184840147418,"{'alpha': 0.1, 'gamma': 0.01}",0.5380878134542277,mlp,0.9443445762783858,20,0.8386875969547934,28
