r2_linear,r2_mlp,linear_over_mlp,n_pca,pca_var_explained,layer
-0.09197381404408667,-11.572601616977023,nan,20,1.0000000000000018,0
0.35434416580508044,-10.144616421552998,nan,20,0.9018081448046618,1
0.4104226099264561,-68.45838526126938,nan,20,0.8907106932607455,2
0.20749190643412563,-13.862421112436166,nan,20,0.8932206696293457,3
0.1660218930516305,-18.795672944779067,nan,20,0.889741375033991,4
0.02717944107830672,-72.03799609256211,nan,20,0.9008859992038543,5
-0.08669325941975115,-16.351601874877037,nan,20,0.9025438859770936,6
-0.004794675834459916,-40.919262708302824,nan,20,0.9010833483256674,7
0.1265857209228547,-20.140864987078704,nan,20,0.8965698153162096,8
0.19966016829879196,-10.46818537354446,nan,20,0.8940058481713311,9
0.22270471325974117,-18.269689540097957,nan,20,0.9016282492416962,10
0.20399184750892296,-35.14846670298602,nan,20,0.8994287924155846,11
0.27843471723370183,-54.904490613691095,nan,20,0.8902064614139433,12
0.294267705897748,-9.380380570113347,nan,20,0.887102315588034,13
0.30305362384859724,-11.331266161607072,nan,20,0.8953211521612906,14
0.3890639286937442,-24.251752110855882,nan,20,0.8895358399402455,15
0.3826213936577686,-25.29305842096742,nan,20,0.8881173563771436,16
0.3962546005163001,-38.13200721041146,nan,20,0.8843397208422119,17
0.3657746255453772,-34.92103715914573,nan,20,0.8838199948879298,18
0.445829517810579,-55.12457593399632,nan,20,0.8809454055559028,19
0.4521131666691247,-21.321113965544193,nan,20,0.8835048845297234,20
0.3669519019558486,-17.874791431362954,nan,20,0.8809796644812807,21
0.3730235653823337,-17.121746369390564,nan,20,0.8719663581029946,22
0.31569329699348314,-13.388015249232307,nan,20,0.8635347298887222,23
0.31205570749996037,-11.997472041439616,nan,20,0.8529762230249267,24
0.33919254309375235,-11.364058318437003,nan,20,0.855614230261298,25
0.42476107735823776,-30.662232529739246,nan,20,0.8568929159076527,26
0.41640644477437283,-18.384874394916412,nan,20,0.8455934374920739,27
0.4595295144356426,-11.041454415970907,nan,20,0.8378392321687296,28
