r2_linear,r2_mlp_best,r2_mlp_cfg,r2_kr_best,r2_kr_cfg,r2_best_nonlinear,best_nl_source,linear_over_nonlinear,n_pca,pca_var_explained,layer
-0.22000139048097833,-0.21636215775594692,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.17613365569788186,"{'alpha': 1.0, 'gamma': 0.01}",-0.17613365569788186,kernel_ridge,,20,0.9999999999999996,0
0.4303603675989246,0.004548595709199854,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.4008419069716458,"{'alpha': 0.1, 'gamma': 0.01}",0.004548595709199854,mlp,94.61389736803615,20,0.8909926752869174,1
0.36188527594388165,0.031697194064745804,"{'hidden_layer_sizes': (16,), 'alpha': 1.0}",-0.7515046679643695,"{'alpha': 0.1, 'gamma': 0.01}",0.031697194064745804,mlp,11.416949879054973,20,0.8823992152227335,2
0.43807158968585724,0.04068002319507058,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.7461072089782346,"{'alpha': 0.1, 'gamma': 0.01}",0.04068002319507058,mlp,10.768715336891468,20,0.8903239383146943,3
0.4684883915931368,0.32429310613523,"{'hidden_layer_sizes': (16,), 'alpha': 1.0}",-0.757854308986988,"{'alpha': 0.1, 'gamma': 0.01}",0.32429310613523,mlp,1.4446449299411794,20,0.8869087278023694,4
0.2448000389975784,0.3874997058187347,"{'hidden_layer_sizes': (16,), 'alpha': 1.0}",-0.7544666735543386,"{'alpha': 0.1, 'gamma': 0.01}",0.3874997058187347,mlp,0.6317425157274607,20,0.8990598485645217,5
-0.2214808790872782,-0.22046656721001767,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.778833817736313,"{'alpha': 0.1, 'gamma': 0.01}",-0.22046656721001767,mlp,,20,0.8985579516076078,6
-0.2578416302458719,0.5394932777020263,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.782162620401831,"{'alpha': 0.1, 'gamma': 0.01}",0.5394932777020263,mlp,-0.47793298063721823,20,0.897667942015876,7
0.14764368200346512,-0.14751035496040887,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.8038935153532167,"{'alpha': 0.1, 'gamma': 0.01}",-0.14751035496040887,mlp,,20,0.8904372543687465,8
0.42779082172274263,0.3318812764089538,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.7626526146553452,"{'alpha': 0.1, 'gamma': 0.01}",0.3318812764089538,mlp,1.2889875149076089,20,0.8874765112012237,9
0.3855254185864434,0.29380903008804715,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.7645897367842351,"{'alpha': 0.1, 'gamma': 0.01}",0.29380903008804715,mlp,1.3121632730992345,20,0.897246518429779,10
